,text,category,label
302,please set an alarm for tomorrows meeting at seven am,alarm_set,alarm_set
303,set an alarm for eight pm,alarm_set,alarm_set
304,set my calendar for an alarm at five pm tuesday,alarm_set,alarm_set
305,turn my morning alarm on,alarm_set,alarm_set
306,tell me when it is five pm,alarm_set,alarm_set
307,two pm set,alarm_set,alarm_set
308,set alarm for six am tomorrow,alarm_set,alarm_set
309,set up an alarm clock at one pm,alarm_set,alarm_set
310,i need to get up at seven am,alarm_set,alarm_set
311,i need to get going at eight am tomorrow set up an alarm thirty minutes before that,alarm_set,alarm_set
312,let me know when it is ten,alarm_set,alarm_set
313,create an alarm for five pm,alarm_set,alarm_set
314,set the alarm for five am,alarm_set,alarm_set
315,set alarm of every tuesday of march month morning eight am,alarm_set,alarm_set
316,repeat alarm,alarm_set,alarm_set
317,please set the alarm for seven,alarm_set,alarm_set
318,wake me up at six am,alarm_set,alarm_set
319,set a new alarm for that time,alarm_set,alarm_set
320,ensure i have to get up at six in morning,alarm_set,alarm_set
321,set alarm for one hour from now,alarm_set,alarm_set
322,schedule an alarm for next weeks dentist appointment,alarm_set,alarm_set
323,alarm for ten am,alarm_set,alarm_set
324,please we're the following alarm,alarm_set,alarm_set
325,set an alarm for one pm,alarm_set,alarm_set
326,set an alarm for the dance classes two hours before the classes start,alarm_set,alarm_set
327,set my alarm for twelve pm,alarm_set,alarm_set
328,wake me up at five am,alarm_set,alarm_set
329,set the alarm tone,alarm_set,alarm_set
330,olly set my alarm to go off in an hour,alarm_set,alarm_set
331,send me a wake up alert at seven am tomorrow morning,alarm_set,alarm_set
332,please wake me up at eight am,alarm_set,alarm_set
333,make an alarm for four pm,alarm_set,alarm_set
334,wake me up at four am,alarm_set,alarm_set
335,fix an alarm,alarm_set,alarm_set
336,set an alarm for seven am,alarm_set,alarm_set
337,set alarm for this event reminder repeating for ten times,alarm_set,alarm_set
338,set an alert for two pm,alarm_set,alarm_set
339,i need to get up at ten tomorrow,alarm_set,alarm_set
340,get me up at eight am,alarm_set,alarm_set
341,set alarm for tomorrow at two pm,alarm_set,alarm_set
342,wake me up at six thirty,alarm_set,alarm_set
343,please set my alarm clock for eight am,alarm_set,alarm_set
344,set an alarm for next tuesdays meeting,alarm_set,alarm_set
345,set alarm at ten am,alarm_set,alarm_set
346,please create a new alarm,alarm_set,alarm_set
347,alert me at three pm to goto the concert,alarm_set,alarm_set
348,make a new alarm,alarm_set,alarm_set
349,please set a reminder alarm for three pm on Saturday,alarm_set,alarm_set
350,open clock,alarm_set,alarm_set
351,set alarm for tomorrow six am,alarm_set,alarm_set
352,set my alarm for tuesday at six pm,alarm_set,alarm_set
353,alert me at five hours,alarm_set,alarm_set
354,one am set,alarm_set,alarm_set
355,set alarm to begin,alarm_set,alarm_set
356,set the alarm for nine am on weekends,alarm_set,alarm_set
357,add an alarm for tomorrow morning at six am,alarm_set,alarm_set
358,please set an alarm at six am,alarm_set,alarm_set
359,set an alarm for tomorrow morning at eight,alarm_set,alarm_set
360,ring the alarm when i get home,alarm_set,alarm_set
361,set my alarm for time,alarm_set,alarm_set
362,set an alarm for ten o'clock tomorrow morning,alarm_set,alarm_set
363,alarm set,alarm_set,alarm_set
364,i want an alarm for six am everyday,alarm_set,alarm_set
365,add a five am alarm in place of my nine pm alarm,alarm_set,alarm_set
366,remind me at one thousand three hundred,alarm_set,alarm_set
367,alarm,alarm_set,alarm_set
368,make an alarm,alarm_set,alarm_set
369,please set alarm for all days,alarm_set,alarm_set
370,wake me up at seven am,alarm_set,alarm_set
371,is my alarm set for seven am,alarm_set,alarm_set
372,can you set an alarm for me,alarm_set,alarm_set
373,create event with alarm for meeting in two hours,alarm_set,alarm_set
374,set my alarm for six am tomorrow,alarm_set,alarm_set
375,please set an alarm for seven hundred and thirty am tomorrow,alarm_set,alarm_set
376,wake me up in thirty minutes,alarm_set,alarm_set
377,schedule an alarm to wake me up after three hours,alarm_set,alarm_set
378,set an alarm,alarm_set,alarm_set
379,make an alarm for me at five am tomorrow,alarm_set,alarm_set
380,set alarm for twelve weeks from today at eight am,alarm_set,alarm_set
381,wake me up at time,alarm_set,alarm_set
382,set wake up Thursday seven am,alarm_set,alarm_set
383,please set my alarm for five pm,alarm_set,alarm_set
384,get me up in half an hour,alarm_set,alarm_set
385,wake me up at this time,alarm_set,alarm_set
386,wake me up at ten,alarm_set,alarm_set
387,set an alarm for five hundred and thirty,alarm_set,alarm_set
388,put alarm at five am,alarm_set,alarm_set
389,wake me up on Friday at five in the morning i need to catch the train,alarm_set,alarm_set
390,set an alarm for seven thirty am,alarm_set,alarm_set
391,please ring the wake up alarm at eight am next saturday,alarm_set,alarm_set
392,create an alarm for six am,alarm_set,alarm_set
393,i need an alarm set for five hundred and thirty am tomorrow,alarm_set,alarm_set
394,set a repeating reminder alarm for the facebook event i have to attend on seventh april,alarm_set,alarm_set
395,set alarm on twenty fifth may at five pm,alarm_set,alarm_set
396,please wake me up at seven thirty am,alarm_set,alarm_set
397,set an alarm for eight am,alarm_set,alarm_set
398,alarm five pm tuesday,alarm_set,alarm_set
399,wake me up at five thirty,alarm_set,alarm_set
400,set my alarm for eight am,alarm_set,alarm_set
401,set my alarm for six thirty in the morning tomorrow,alarm_set,alarm_set
402,set the time,alarm_set,alarm_set
403,i need an alarm,alarm_set,alarm_set
404,wake me up,alarm_set,alarm_set
405,i need a six am wakeup call,alarm_set,alarm_set
406,wake me up at five am this week,alarm_set,alarm_set
407,set alarm for saturday morning soccer practice at eight am,alarm_set,alarm_set
408,please set the alarm for next morning to seven am,alarm_set,alarm_set
409,can you set my alarm for seven thirty am,alarm_set,alarm_set
410,set alarm at two am,alarm_set,alarm_set
411,please set the alarm for eight pm wednesday evening,alarm_set,alarm_set
412,could you please set an alarm at six am,alarm_set,alarm_set
413,set an alarm for four in the afternoon,alarm_set,alarm_set
414,set a reminder i need to wake up at five am every morning,alarm_set,alarm_set
415,please set an alarm at seven am tomorrow morning,alarm_set,alarm_set
416,create an alarm for today at ten am,alarm_set,alarm_set
417,i need you to set an alarm,alarm_set,alarm_set
418,make an alarm to help me remember,alarm_set,alarm_set
419,set an alarm for two hours from now,alarm_set,alarm_set
420,set alarm for nine am,alarm_set,alarm_set
421,set an alarm at six in the morning,alarm_set,alarm_set
422,make an alarm for the morning,alarm_set,alarm_set
423,set an alarm for two hours from now please,alarm_set,alarm_set
424,set an alarm at six am,alarm_set,alarm_set
425,place alarm at five o'clock morning,alarm_set,alarm_set
426,wake me up at five hundred and thirty,alarm_set,alarm_set
427,i want to wake up at six am tomorrow please,alarm_set,alarm_set
428,call me at six am,alarm_set,alarm_set
429,set an alarm for one hour from now,alarm_set,alarm_set
430,new alarm for six am,alarm_set,alarm_set
431,i need a reminder alarm at one,alarm_set,alarm_set
432,please set alarm at five pm,alarm_set,alarm_set
433,set an eight hundred am alarm for next tuesday,alarm_set,alarm_set
434,set alarm for reminder,alarm_set,alarm_set
435,make an alarm for three pm,alarm_set,alarm_set
436,the set alarm for nine pm on Thursday night,alarm_set,alarm_set
437,set an alarm for five am,alarm_set,alarm_set
438,confirm that the alarm is set for tomorrow,alarm_set,alarm_set
439,please make me wake up at four am tomorrow,alarm_set,alarm_set
440,remind me at five pm,alarm_set,alarm_set
441,turn on alarm thirty minutes before liverpool started to play,alarm_set,alarm_set
442,set a wake up call for ten am,alarm_set,alarm_set
443,set an alarm for thursday at seven pm,alarm_set,alarm_set
444,please set alarm to my mobile phones,alarm_set,alarm_set
445,alarm me at eight am,alarm_set,alarm_set
446,wake me at seven am,alarm_set,alarm_set
447,set an alarm at ten tomorrow to remind me a meeting,alarm_set,alarm_set
448,set an alarm at six am tomorrow,alarm_set,alarm_set
449,i need an alarm for sunday at eight am can you please set one for me,alarm_set,alarm_set
450,turn on my alarm,alarm_set,alarm_set
451,remind me at six thirty pm,alarm_set,alarm_set
452,add alarm,alarm_set,alarm_set
453,can you set the alarm for one hundred and thirty,alarm_set,alarm_set
454,alarm time for twelve pm,alarm_set,alarm_set
455,wake me at daybreak,alarm_set,alarm_set
528,don't talk,audio_volume_mute,audio_volume_mute
529,go silent until three pm,audio_volume_mute,audio_volume_mute
530,please do not talk for thirty minutes,audio_volume_mute,audio_volume_mute
531,Silence speakers,audio_volume_mute,audio_volume_mute
532,please be quiet,audio_volume_mute,audio_volume_mute
533,silently adjust,audio_volume_mute,audio_volume_mute
534,turn off audio,audio_volume_mute,audio_volume_mute
535,turn off sound,audio_volume_mute,audio_volume_mute
536,set to mute,audio_volume_mute,audio_volume_mute
537,keep quiet,audio_volume_mute,audio_volume_mute
538,please stop for a bit,audio_volume_mute,audio_volume_mute
539,Please pause the song,audio_volume_mute,audio_volume_mute
540,off the speakers,audio_volume_mute,audio_volume_mute
541,be silent for thirty minutes,audio_volume_mute,audio_volume_mute
542,can you place the sound on mute,audio_volume_mute,audio_volume_mute
543,stop making sounds for forty minutes,audio_volume_mute,audio_volume_mute
544,can you please stop speaking,audio_volume_mute,audio_volume_mute
545,mute volume,audio_volume_mute,audio_volume_mute
546,please do not answer,audio_volume_mute,audio_volume_mute
547,please be silent until i tell you not to be,audio_volume_mute,audio_volume_mute
548,i want to mute the speaker,audio_volume_mute,audio_volume_mute
549,silent mode,audio_volume_mute,audio_volume_mute
550,mute yourself when i am in a meeting,audio_volume_mute,audio_volume_mute
551,please pause yourself,audio_volume_mute,audio_volume_mute
552,please keep quiet for the next hour,audio_volume_mute,audio_volume_mute
553,mute the living room speakers,audio_volume_mute,audio_volume_mute
554,down the speaker volume at the end of level,audio_volume_mute,audio_volume_mute
555,set the speakers to mute,audio_volume_mute,audio_volume_mute
556,please mute the volume control,audio_volume_mute,audio_volume_mute
557,turn on silent mode until my alarm goes off,audio_volume_mute,audio_volume_mute
558,pause the music,audio_volume_mute,audio_volume_mute
559,silent,audio_volume_mute,audio_volume_mute
560,go silent for a day,audio_volume_mute,audio_volume_mute
561,mute for volume,audio_volume_mute,audio_volume_mute
562,set mute mode for one hour,audio_volume_mute,audio_volume_mute
563,can you mute when i am not home,audio_volume_mute,audio_volume_mute
564,mute please,audio_volume_mute,audio_volume_mute
565,please be quiet for another hour,audio_volume_mute,audio_volume_mute
566,set to silent for five minutes,audio_volume_mute,audio_volume_mute
567,silence please,audio_volume_mute,audio_volume_mute
568,stop playing,audio_volume_mute,audio_volume_mute
569,mute the audio,audio_volume_mute,audio_volume_mute
570,mute the settings,audio_volume_mute,audio_volume_mute
571,mute the volume,audio_volume_mute,audio_volume_mute
572,please quiet the speaker,audio_volume_mute,audio_volume_mute
573,silence for two hours,audio_volume_mute,audio_volume_mute
574,please stop talking,audio_volume_mute,audio_volume_mute
575,mute for two hours,audio_volume_mute,audio_volume_mute
576,activate silent,audio_volume_mute,audio_volume_mute
577,mute for fifteen minutes,audio_volume_mute,audio_volume_mute
578,silence,audio_volume_mute,audio_volume_mute
579,do not speak today,audio_volume_mute,audio_volume_mute
580,turn off the sounds,audio_volume_mute,audio_volume_mute
581,mute the speaker please,audio_volume_mute,audio_volume_mute
582,enter silence mode,audio_volume_mute,audio_volume_mute
583,help me to mute my speaker,audio_volume_mute,audio_volume_mute
584,can you mute my speaker,audio_volume_mute,audio_volume_mute
585,google please be extra quiet the baby is sleeping,audio_volume_mute,audio_volume_mute
586,mute enabled until i say so,audio_volume_mute,audio_volume_mute
587,Shut down the sound,audio_volume_mute,audio_volume_mute
588,please hold for the next hour,audio_volume_mute,audio_volume_mute
589,disable music player,audio_volume_mute,audio_volume_mute
590,mute the sound,audio_volume_mute,audio_volume_mute
591,set the settings to mute,audio_volume_mute,audio_volume_mute
592,quiet mode on until i am home from work,audio_volume_mute,audio_volume_mute
593,turn the vibrate off from speaker,audio_volume_mute,audio_volume_mute
594,please mute the speakers,audio_volume_mute,audio_volume_mute
595,mute sound on speakers please,audio_volume_mute,audio_volume_mute
596,don't speak for an hour,audio_volume_mute,audio_volume_mute
597,set music system to mute,audio_volume_mute,audio_volume_mute
598,stay quiet,audio_volume_mute,audio_volume_mute
599,set volume to zero,audio_volume_mute,audio_volume_mute
600,please mute my speaker,audio_volume_mute,audio_volume_mute
601,speakers off,audio_volume_mute,audio_volume_mute
602,please do not speak,audio_volume_mute,audio_volume_mute
603,quiet on,audio_volume_mute,audio_volume_mute
604,no speaking please,audio_volume_mute,audio_volume_mute
605,i would like to mute the speakers please,audio_volume_mute,audio_volume_mute
606,please mute the sound,audio_volume_mute,audio_volume_mute
607,please shut off,audio_volume_mute,audio_volume_mute
608,from now on mute,audio_volume_mute,audio_volume_mute
609,please unmute yourself,audio_volume_mute,audio_volume_mute
610,mute speakers,audio_volume_mute,audio_volume_mute
611,i dont want sound,audio_volume_mute,audio_volume_mute
612,will you please mute my speakers,audio_volume_mute,audio_volume_mute
613,mute speakers please,audio_volume_mute,audio_volume_mute
614,mute sound,audio_volume_mute,audio_volume_mute
615,quiet,audio_volume_mute,audio_volume_mute
616,sound off,audio_volume_mute,audio_volume_mute
617,silence for certain amount of hours,audio_volume_mute,audio_volume_mute
618,please you don't speak in eight to ten pm,audio_volume_mute,audio_volume_mute
619,mute,audio_volume_mute,audio_volume_mute
620,turn the sound off,audio_volume_mute,audio_volume_mute
621,mute immediately,audio_volume_mute,audio_volume_mute
622,mute all responses now,audio_volume_mute,audio_volume_mute
623,be mute,audio_volume_mute,audio_volume_mute
624,shut up,audio_volume_mute,audio_volume_mute
625,don't make any sounds,audio_volume_mute,audio_volume_mute
626,turn sound off,audio_volume_mute,audio_volume_mute
627,silent mode on for the next three hours,audio_volume_mute,audio_volume_mute
628,cut off noise,audio_volume_mute,audio_volume_mute
629,touch the mute button,audio_volume_mute,audio_volume_mute
630,get yourself muted,audio_volume_mute,audio_volume_mute
631,set mute until said otherwise,audio_volume_mute,audio_volume_mute
632,be quiet,audio_volume_mute,audio_volume_mute
633,mute yourself until five pm,audio_volume_mute,audio_volume_mute
634,don't speak for a while,audio_volume_mute,audio_volume_mute
635,i've got a meeting by tonight seven pm please mute the music for an hour,audio_volume_mute,audio_volume_mute
636,quiet mode four hours,audio_volume_mute,audio_volume_mute
637,turn down the noise,audio_volume_mute,audio_volume_mute
638,please change the volume to mute,audio_volume_mute,audio_volume_mute
639,mute for the next hour please,audio_volume_mute,audio_volume_mute
640,please mute yourself,audio_volume_mute,audio_volume_mute
641,make the volume to zero,audio_volume_mute,audio_volume_mute
642,hey olly mute the speakers,audio_volume_mute,audio_volume_mute
643,mute the speakers,audio_volume_mute,audio_volume_mute
644,goodnight,audio_volume_mute,audio_volume_mute
645,it's quiet time,audio_volume_mute,audio_volume_mute
646,turn off speaker,audio_volume_mute,audio_volume_mute
647,mute yourself until i say otherwise,audio_volume_mute,audio_volume_mute
648,mute audio,audio_volume_mute,audio_volume_mute
649,don't talk until i ask you to,audio_volume_mute,audio_volume_mute
650,please be quiet for the next two hours,audio_volume_mute,audio_volume_mute
651,mute volume now,audio_volume_mute,audio_volume_mute
652,don't respond for fifty seconds,audio_volume_mute,audio_volume_mute
653,turn off the speakers,audio_volume_mute,audio_volume_mute
654,do not talk,audio_volume_mute,audio_volume_mute
655,quiet time,audio_volume_mute,audio_volume_mute
656,mute for one hour,audio_volume_mute,audio_volume_mute
657,please be silent,audio_volume_mute,audio_volume_mute
658,please do not respond,audio_volume_mute,audio_volume_mute
659,volume control,audio_volume_mute,audio_volume_mute
660,can you set radio to mute,audio_volume_mute,audio_volume_mute
661,please mute the television for one hour,audio_volume_mute,audio_volume_mute
662,can you please be muted for a while,audio_volume_mute,audio_volume_mute
663,i'm in a meeting please do not speak,audio_volume_mute,audio_volume_mute
664,turn the volume off,audio_volume_mute,audio_volume_mute
665,sound off please,audio_volume_mute,audio_volume_mute
666,i want you to mute,audio_volume_mute,audio_volume_mute
667,do not make any noise until morning alarm,audio_volume_mute,audio_volume_mute
668,mute for twenty minutes,audio_volume_mute,audio_volume_mute
669,stop the audio,audio_volume_mute,audio_volume_mute
670,turn up radio volume,audio_volume_up,audio_volume_up
671,i can't hear you speak up,audio_volume_up,audio_volume_up
672,Speak louder please,audio_volume_up,audio_volume_up
673,increase the volume please,audio_volume_up,audio_volume_up
674,please increase the volume of the current song,audio_volume_up,audio_volume_up
675,adjust media volume up,audio_volume_up,audio_volume_up
676,bring back talking after,audio_volume_up,audio_volume_up
677,unmute my sound,audio_volume_up,audio_volume_up
678,please increase volume in music player,audio_volume_up,audio_volume_up
679,raise the volume of the speakers to fifty five percent,audio_volume_up,audio_volume_up
680,Hey turn the volume high,audio_volume_up,audio_volume_up
681,hello beef up the volume a little bit,audio_volume_up,audio_volume_up
682,can you speak a little louder,audio_volume_up,audio_volume_up
683,please raise the volume of speaker,audio_volume_up,audio_volume_up
684,louder,audio_volume_up,audio_volume_up
685,i cant hear a thing,audio_volume_up,audio_volume_up
686,set the volume higher,audio_volume_up,audio_volume_up
687,i need you to have the volume louder,audio_volume_up,audio_volume_up
688,turn up the volume of my speakers,audio_volume_up,audio_volume_up
689,volume up,audio_volume_up,audio_volume_up
690,please unmute the settings,audio_volume_up,audio_volume_up
691,audio up,audio_volume_up,audio_volume_up
692,the volume of the music playing now should be raised,audio_volume_up,audio_volume_up
693,raise the volume of the speakers,audio_volume_up,audio_volume_up
694,turn my audio higher,audio_volume_up,audio_volume_up
695,can you increase the volume of the speakers,audio_volume_up,audio_volume_up
696,raise the volume to fifty,audio_volume_up,audio_volume_up
697,Volume louder softer,audio_volume_up,audio_volume_up
698,turn up the sound,audio_volume_up,audio_volume_up
699,i need to hear the volume of the current music,audio_volume_up,audio_volume_up
700,please increase the volume,audio_volume_up,audio_volume_up
701,please turn the music up,audio_volume_up,audio_volume_up
702,could you please yell the answer out to me,audio_volume_up,audio_volume_up
703,please speak loud,audio_volume_up,audio_volume_up
704,on the music player set the volume level at sixty,audio_volume_up,audio_volume_up
705,raise speaker volume,audio_volume_up,audio_volume_up
706,raise the volume of the current music,audio_volume_up,audio_volume_up
